label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,60685.0,chr1,9685722,9686400,GM12878|chr1:9685722-9686400,chr1,9747084,9749721,GM12878|chr1:9747084-9749721
1,56869.0,chr1,24136556,24136600,GM12878|chr1:24136556-24136600,chr1,24193468,24194871,GM12878|chr1:24193468-24194871
1,56537.0,chr1,24136600,24136932,GM12878|chr1:24136600-24136932,chr1,24193468,24194871,GM12878|chr1:24193468-24194871
1,55594.0,chr1,24137625,24137875,GM12878|chr1:24137625-24137875,chr1,24193468,24194871,GM12878|chr1:24193468-24194871
1,54055.0,chr1,24139145,24139414,GM12878|chr1:24139145-24139414,chr1,24193468,24194871,GM12878|chr1:24193468-24194871
1,32053.0,chr1,26611045,26611600,GM12878|chr1:26611045-26611600,chr1,26643652,26646530,GM12878|chr1:26643652-26646530
1,25901.0,chr1,26612919,26617752,GM12878|chr1:26612919-26617752,chr1,26643652,26646530,GM12878|chr1:26643652-26646530
1,182523.0,chr1,26929200,26930078,GM12878|chr1:26929200-26930078,chr1,27112600,27115809,GM12878|chr1:27112600-27115809
1,73202.0,chr1,26944800,26945446,GM12878|chr1:26944800-26945446,chr1,27018647,27025208,GM12878|chr1:27018647-27025208
1,72648.0,chr1,26945673,26946000,GM12878|chr1:26945673-26946000,chr1,27018647,27025208,GM12878|chr1:27018647-27025208
1,261620.0,chr1,28570144,28570200,GM12878|chr1:28570144-28570200,chr1,28831819,28837986,GM12878|chr1:28831819-28837986
1,256761.0,chr1,28574200,28575059,GM12878|chr1:28574200-28575059,chr1,28831819,28837986,GM12878|chr1:28831819-28837986
1,254965.0,chr1,28575304,28576855,GM12878|chr1:28575304-28576855,chr1,28831819,28837986,GM12878|chr1:28831819-28837986
1,1170218.0,chr1,31235600,31237301,GM12878|chr1:31235600-31237301,chr1,32407518,32410927,GM12878|chr1:32407518-32410927
1,1168027.0,chr1,31237452,31239492,GM12878|chr1:31237452-31239492,chr1,32407518,32410927,GM12878|chr1:32407518-32410927
1,130039.0,chr1,45825780,45825948,GM12878|chr1:45825780-45825948,chr1,45955986,45956956,GM12878|chr1:45955986-45956956
1,128987.0,chr1,45826708,45827000,GM12878|chr1:45826708-45827000,chr1,45955986,45956956,GM12878|chr1:45955986-45956956
1,51335.0,chr1,70824600,70824881,GM12878|chr1:70824600-70824881,chr1,70876215,70877551,GM12878|chr1:70876215-70877551
1,55696.0,chr1,76194293,76194432,GM12878|chr1:76194293-76194432,chr1,76250127,76253672,GM12878|chr1:76250127-76253672
1,55504.0,chr1,76194532,76194624,GM12878|chr1:76194532-76194624,chr1,76250127,76253672,GM12878|chr1:76250127-76253672
1,228043.0,chr1,100273927,100274288,GM12878|chr1:100273927-100274288,chr1,100502330,100505012,GM12878|chr1:100502330-100505012
1,227531.0,chr1,100274497,100274800,GM12878|chr1:100274497-100274800,chr1,100502330,100505012,GM12878|chr1:100502330-100505012
1,227483.0,chr1,100274800,100274848,GM12878|chr1:100274800-100274848,chr1,100502330,100505012,GM12878|chr1:100502330-100505012
1,531018.0,chr1,111765761,111766463,GM12878|chr1:111765761-111766463,chr1,112297480,112299451,GM12878|chr1:112297480-112299451
1,530322.0,chr1,111766944,111767159,GM12878|chr1:111766944-111767159,chr1,112297480,112299451,GM12878|chr1:112297480-112299451
1,529921.0,chr1,111767279,111767560,GM12878|chr1:111767279-111767560,chr1,112297480,112299451,GM12878|chr1:112297480-112299451
