label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,92874.5,chr9,613609,614420,HMEC|chr9:613609-614420,chr9,705389,707389,HMEC|chr9:706888-706889
1,90865.5,chr9,615756,616291,HMEC|chr9:615756-616291,chr9,705389,707389,HMEC|chr9:706888-706889
1,51313.5,chr17,1480530,1481103,HMEC|chr17:1480530-1481103,chr17,1531630,1533630,HMEC|chr17:1532129-1532130
1,50467.5,chr6,2791456,2791773,HMEC|chr6:2791456-2791773,chr6,2841582,2843582,HMEC|chr6:2842081-2842082
1,50479.5,chr6,2791456,2791773,HMEC|chr6:2791456-2791773,chr6,2841594,2843594,HMEC|chr6:2842093-2842094
1,50481.5,chr6,2791456,2791773,HMEC|chr6:2791456-2791773,chr6,2841596,2843596,HMEC|chr6:2842095-2842096
1,50625.5,chr6,2791456,2791773,HMEC|chr6:2791456-2791773,chr6,2841740,2843740,HMEC|chr6:2842239-2842240
1,49250.5,chr6,2792610,2793053,HMEC|chr6:2792610-2793053,chr6,2841582,2843582,HMEC|chr6:2842081-2842082
1,49262.5,chr6,2792610,2793053,HMEC|chr6:2792610-2793053,chr6,2841594,2843594,HMEC|chr6:2842093-2842094
1,49264.5,chr6,2792610,2793053,HMEC|chr6:2792610-2793053,chr6,2841596,2843596,HMEC|chr6:2842095-2842096
1,49408.5,chr6,2792610,2793053,HMEC|chr6:2792610-2793053,chr6,2841740,2843740,HMEC|chr6:2842239-2842240
1,48001.0,chr6,2793675,2794487,HMEC|chr6:2793675-2794487,chr6,2841582,2843582,HMEC|chr6:2842081-2842082
1,48013.0,chr6,2793675,2794487,HMEC|chr6:2793675-2794487,chr6,2841594,2843594,HMEC|chr6:2842093-2842094
1,48015.0,chr6,2793675,2794487,HMEC|chr6:2793675-2794487,chr6,2841596,2843596,HMEC|chr6:2842095-2842096
1,48159.0,chr6,2793675,2794487,HMEC|chr6:2793675-2794487,chr6,2841740,2843740,HMEC|chr6:2842239-2842240
1,47316.0,chr6,2794538,2794994,HMEC|chr6:2794538-2794994,chr6,2841582,2843582,HMEC|chr6:2842081-2842082
1,47328.0,chr6,2794538,2794994,HMEC|chr6:2794538-2794994,chr6,2841594,2843594,HMEC|chr6:2842093-2842094
1,47330.0,chr6,2794538,2794994,HMEC|chr6:2794538-2794994,chr6,2841596,2843596,HMEC|chr6:2842095-2842096
1,47474.0,chr6,2794538,2794994,HMEC|chr6:2794538-2794994,chr6,2841740,2843740,HMEC|chr6:2842239-2842240
1,40231.0,chr12,3226212,3227336,HMEC|chr12:3226212-3227336,chr12,3185043,3187043,HMEC|chr12:3186542-3186543
1,40253.0,chr12,3226212,3227336,HMEC|chr12:3226212-3227336,chr12,3185021,3187021,HMEC|chr12:3186520-3186521
1,42134.5,chr12,3228533,3228822,HMEC|chr12:3228533-3228822,chr12,3185043,3187043,HMEC|chr12:3186542-3186543
1,42156.5,chr12,3228533,3228822,HMEC|chr12:3228533-3228822,chr12,3185021,3187021,HMEC|chr12:3186520-3186521
1,42761.0,chr12,3228984,3229624,HMEC|chr12:3228984-3229624,chr12,3185043,3187043,HMEC|chr12:3186542-3186543
1,42783.0,chr12,3228984,3229624,HMEC|chr12:3228984-3229624,chr12,3185021,3187021,HMEC|chr12:3186520-3186521
1,180045.5,chr12,3420157,3420556,HMEC|chr12:3420157-3420556,chr12,3598902,3600902,HMEC|chr12:3600401-3600402
1,215725.0,chr18,3665722,3666148,HMEC|chr18:3665722-3666148,chr18,3448710,3450710,HMEC|chr18:3450209-3450210
1,215760.0,chr18,3665722,3666148,HMEC|chr18:3665722-3666148,chr18,3448675,3450675,HMEC|chr18:3450174-3450175
1,215901.0,chr18,3665722,3666148,HMEC|chr18:3665722-3666148,chr18,3448534,3450534,HMEC|chr18:3450033-3450034
1,215962.0,chr18,3665722,3666148,HMEC|chr18:3665722-3666148,chr18,3448473,3450473,HMEC|chr18:3449972-3449973
1,216055.0,chr18,3665722,3666148,HMEC|chr18:3665722-3666148,chr18,3448380,3450380,HMEC|chr18:3449879-3449880
1,216233.0,chr18,3665722,3666148,HMEC|chr18:3665722-3666148,chr18,3448202,3450202,HMEC|chr18:3449701-3449702
1,218328.0,chr18,3665722,3666148,HMEC|chr18:3665722-3666148,chr18,3446107,3448107,HMEC|chr18:3447606-3447607
1,216241.5,chr18,3666251,3666652,HMEC|chr18:3666251-3666652,chr18,3448710,3450710,HMEC|chr18:3450209-3450210
1,216276.5,chr18,3666251,3666652,HMEC|chr18:3666251-3666652,chr18,3448675,3450675,HMEC|chr18:3450174-3450175
1,216417.5,chr18,3666251,3666652,HMEC|chr18:3666251-3666652,chr18,3448534,3450534,HMEC|chr18:3450033-3450034
1,216478.5,chr18,3666251,3666652,HMEC|chr18:3666251-3666652,chr18,3448473,3450473,HMEC|chr18:3449972-3449973
1,216571.5,chr18,3666251,3666652,HMEC|chr18:3666251-3666652,chr18,3448380,3450380,HMEC|chr18:3449879-3449880
1,216749.5,chr18,3666251,3666652,HMEC|chr18:3666251-3666652,chr18,3448202,3450202,HMEC|chr18:3449701-3449702
1,218844.5,chr18,3666251,3666652,HMEC|chr18:3666251-3666652,chr18,3446107,3448107,HMEC|chr18:3447606-3447607
1,242432.5,chr12,4140160,4140851,HMEC|chr12:4140160-4140851,chr12,4381438,4383438,HMEC|chr12:4382937-4382938
1,241771.5,chr12,4141052,4141281,HMEC|chr12:4141052-4141281,chr12,4381438,4383438,HMEC|chr12:4382937-4382938
1,241477.5,chr12,4141334,4141587,HMEC|chr12:4141334-4141587,chr12,4381438,4383438,HMEC|chr12:4382937-4382938
1,240683.0,chr12,4142151,4142359,HMEC|chr12:4142151-4142359,chr12,4381438,4383438,HMEC|chr12:4382937-4382938
1,240352.0,chr12,4142363,4142809,HMEC|chr12:4142363-4142809,chr12,4381438,4383438,HMEC|chr12:4382937-4382938
1,63316.5,chr19,4576045,4576382,HMEC|chr19:4576045-4576382,chr19,4638030,4640030,HMEC|chr19:4639529-4639530
1,62229.5,chr7,4784021,4784318,HMEC|chr7:4784021-4784318,chr7,4720440,4722440,HMEC|chr7:4721939-4721940
1,62871.0,chr7,4784436,4785186,HMEC|chr7:4784436-4785186,chr7,4720440,4722440,HMEC|chr7:4721939-4721940
1,63841.0,chr7,4785448,4786114,HMEC|chr7:4785448-4786114,chr7,4720440,4722440,HMEC|chr7:4721939-4721940
1,97643.5,chr19,4811684,4812049,HMEC|chr19:4811684-4812049,chr19,4908010,4910010,HMEC|chr19:4909509-4909510
1,98291.5,chr19,4811684,4812049,HMEC|chr19:4811684-4812049,chr19,4908658,4910658,HMEC|chr19:4910157-4910158
1,96338.0,chr19,4812836,4813508,HMEC|chr19:4812836-4813508,chr19,4908010,4910010,HMEC|chr19:4909509-4909510
1,96986.0,chr19,4812836,4813508,HMEC|chr19:4812836-4813508,chr19,4908658,4910658,HMEC|chr19:4910157-4910158
1,47057.0,chr10,5605277,5606121,HMEC|chr10:5605277-5606121,chr10,5652256,5654256,HMEC|chr10:5652755-5652756
1,54425.0,chr10,5605277,5606121,HMEC|chr10:5605277-5606121,chr10,5659624,5661624,HMEC|chr10:5660123-5660124
1,46478.5,chr10,5606165,5606390,HMEC|chr10:5606165-5606390,chr10,5652256,5654256,HMEC|chr10:5652755-5652756
1,53846.5,chr10,5606165,5606390,HMEC|chr10:5606165-5606390,chr10,5659624,5661624,HMEC|chr10:5660123-5660124
1,44806.5,chr10,5607513,5608386,HMEC|chr10:5607513-5608386,chr10,5652256,5654256,HMEC|chr10:5652755-5652756
1,52174.5,chr10,5607513,5608386,HMEC|chr10:5607513-5608386,chr10,5659624,5661624,HMEC|chr10:5660123-5660124
1,43992.5,chr10,5608556,5608971,HMEC|chr10:5608556-5608971,chr10,5652256,5654256,HMEC|chr10:5652755-5652756
1,51360.5,chr10,5608556,5608971,HMEC|chr10:5608556-5608971,chr10,5659624,5661624,HMEC|chr10:5660123-5660124
1,76832.5,chr12,6386155,6386740,HMEC|chr12:6386155-6386740,chr12,6308115,6310115,HMEC|chr12:6309614-6309615
1,76896.5,chr12,6386155,6386740,HMEC|chr12:6386155-6386740,chr12,6308051,6310051,HMEC|chr12:6309550-6309551
1,77406.5,chr12,6386155,6386740,HMEC|chr12:6386155-6386740,chr12,6307541,6309541,HMEC|chr12:6309040-6309041
1,77813.5,chr12,6387299,6387558,HMEC|chr12:6387299-6387558,chr12,6308115,6310115,HMEC|chr12:6309614-6309615
