label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,157894.0,chr1,6454864,6455189,K562|chr1:6454864-6455189,chr1,6613082,6615021,K562|chr1:6613082-6615021
1,66939.0,chr1,9935400,9935544,K562|chr1:9935400-9935544,chr1,10002482,10004387,K562|chr1:10002482-10004387
1,157341.0,chr1,9935400,9935544,K562|chr1:9935400-9935544,chr1,10092884,10095822,K562|chr1:10092884-10095822
1,277483.0,chr1,16399567,16400081,K562|chr1:16399567-16400081,chr1,16677563,16679703,K562|chr1:16677563-16679703
1,276906.0,chr1,16400449,16400658,K562|chr1:16400449-16400658,chr1,16677563,16679703,K562|chr1:16677563-16679703
1,274764.0,chr1,16402357,16402800,K562|chr1:16402357-16402800,chr1,16677563,16679703,K562|chr1:16677563-16679703
1,274642.0,chr1,16402800,16402922,K562|chr1:16402800-16402922,chr1,16677563,16679703,K562|chr1:16677563-16679703
1,271714.0,chr1,16405688,16405850,K562|chr1:16405688-16405850,chr1,16677563,16679703,K562|chr1:16677563-16679703
1,270125.0,chr1,16407110,16407439,K562|chr1:16407110-16407439,chr1,16677563,16679703,K562|chr1:16677563-16679703
1,261720.0,chr1,16415480,16415844,K562|chr1:16415480-16415844,chr1,16677563,16679703,K562|chr1:16677563-16679703
1,92342.0,chr1,17287057,17287177,K562|chr1:17287057-17287177,chr1,17379518,17381119,K562|chr1:17379518-17381119
1,91793.0,chr1,17287467,17287726,K562|chr1:17287467-17287726,chr1,17379518,17381119,K562|chr1:17379518-17381119
1,91001.0,chr1,17288298,17288518,K562|chr1:17288298-17288518,chr1,17379518,17381119,K562|chr1:17379518-17381119
1,31826.0,chr1,23823880,23824015,K562|chr1:23823880-23824015,chr1,23855840,23858290,K562|chr1:23855840-23858290
1,408210.0,chr1,25736607,25737000,K562|chr1:25736607-25737000,chr1,26145209,26148000,K562|chr1:26145209-26148000
1,408161.0,chr1,25737000,25737049,K562|chr1:25737000-25737049,chr1,26145209,26148000,K562|chr1:26145209-26148000
1,406413.0,chr1,25738544,25738797,K562|chr1:25738544-25738797,chr1,26145209,26148000,K562|chr1:26145209-26148000
1,405972.0,chr1,25738915,25739238,K562|chr1:25738915-25739238,chr1,26145209,26148000,K562|chr1:26145209-26148000
1,405010.0,chr1,25739454,25740200,K562|chr1:25739454-25740200,chr1,26145209,26148000,K562|chr1:26145209-26148000
1,403513.0,chr1,25740600,25741697,K562|chr1:25740600-25741697,chr1,26145209,26148000,K562|chr1:26145209-26148000
1,400466.0,chr1,25744640,25744744,K562|chr1:25744640-25744744,chr1,26145209,26148000,K562|chr1:26145209-26148000
1,397348.0,chr1,25746600,25747862,K562|chr1:25746600-25747862,chr1,26145209,26148000,K562|chr1:26145209-26148000
1,396814.0,chr1,25747988,25748396,K562|chr1:25747988-25748396,chr1,26145209,26148000,K562|chr1:26145209-26148000
1,396478.0,chr1,25748617,25748732,K562|chr1:25748617-25748732,chr1,26145209,26148000,K562|chr1:26145209-26148000
1,183401.0,chr1,26929832,26930200,K562|chr1:26929832-26930200,chr1,27113600,27115400,K562|chr1:27113600-27115400
1,183392.0,chr1,26930200,26930209,K562|chr1:26930200-26930209,chr1,27113600,27115400,K562|chr1:27113600-27115400
1,183194.0,chr1,26930310,26930407,K562|chr1:26930310-26930407,chr1,27113600,27115400,K562|chr1:27113600-27115400
1,291893.0,chr1,27425539,27426600,K562|chr1:27425539-27426600,chr1,27718492,27719934,K562|chr1:27718492-27719934
1,291869.0,chr1,27426600,27426624,K562|chr1:27426600-27426624,chr1,27718492,27719934,K562|chr1:27718492-27719934
1,45588.0,chr1,27882800,27883453,K562|chr1:27882800-27883453,chr1,27929040,27931000,K562|chr1:27929040-27931000
1,44441.0,chr1,27883579,27884600,K562|chr1:27883579-27884600,chr1,27929040,27931000,K562|chr1:27929040-27931000
1,523841.0,chr1,28982036,28982295,K562|chr1:28982036-28982295,chr1,29506135,29509200,K562|chr1:29506135-29509200
1,509409.0,chr1,28996600,28996727,K562|chr1:28996600-28996727,chr1,29506135,29509200,K562|chr1:29506135-29509200
1,137052.0,chr1,45818869,45819000,K562|chr1:45818869-45819000,chr1,45956051,45957000,K562|chr1:45956051-45957000
1,136834.0,chr1,45819000,45819218,K562|chr1:45819000-45819218,chr1,45956051,45957000,K562|chr1:45956051-45957000
1,181483.0,chr1,47001855,47001964,K562|chr1:47001855-47001964,chr1,47183446,47185272,K562|chr1:47183446-47185272
1,181087.0,chr1,47002262,47002360,K562|chr1:47002262-47002360,chr1,47183446,47185272,K562|chr1:47183446-47185272
1,172207.0,chr1,47010272,47011240,K562|chr1:47010272-47011240,chr1,47183446,47185272,K562|chr1:47183446-47185272
1,171137.0,chr1,47011596,47012310,K562|chr1:47011596-47012310,chr1,47183446,47185272,K562|chr1:47183446-47185272
1,169719.0,chr1,47013607,47013728,K562|chr1:47013607-47013728,chr1,47183446,47185272,K562|chr1:47183446-47185272
1,162557.0,chr1,47020651,47020890,K562|chr1:47020651-47020890,chr1,47183446,47185272,K562|chr1:47183446-47185272
1,102047.0,chr1,47081334,47081400,K562|chr1:47081334-47081400,chr1,47183446,47185272,K562|chr1:47183446-47185272
1,100117.0,chr1,47083000,47083330,K562|chr1:47083000-47083330,chr1,47183446,47185272,K562|chr1:47183446-47185272
1,377801.0,chr1,71132597,71132802,K562|chr1:71132597-71132802,chr1,71510602,71513908,K562|chr1:71510602-71513908
1,370779.0,chr1,71139704,71139824,K562|chr1:71139704-71139824,chr1,71510602,71513908,K562|chr1:71510602-71513908
1,368190.0,chr1,71142000,71142413,K562|chr1:71142000-71142413,chr1,71510602,71513908,K562|chr1:71510602-71513908
1,313131.0,chr1,85411000,85411052,K562|chr1:85411000-85411052,chr1,85724182,85725649,K562|chr1:85724182-85725649
1,312291.0,chr1,85411694,85411892,K562|chr1:85411694-85411892,chr1,85724182,85725649,K562|chr1:85724182-85725649
1,227363.0,chr1,100273966,100274941,K562|chr1:100273966-100274941,chr1,100502303,100505046,K562|chr1:100502303-100505046
1,347753.0,chr1,110179040,110179306,K562|chr1:110179040-110179306,chr1,110527058,110528650,K562|chr1:110527058-110528650
1,345011.0,chr1,110181951,110182048,K562|chr1:110181951-110182048,chr1,110527058,110528650,K562|chr1:110527058-110528650
1,343765.0,chr1,110183155,110183294,K562|chr1:110183155-110183294,chr1,110527058,110528650,K562|chr1:110527058-110528650
1,343543.0,chr1,110183388,110183516,K562|chr1:110183388-110183516,chr1,110527058,110528650,K562|chr1:110527058-110528650
1,341058.0,chr1,110185838,110186001,K562|chr1:110185838-110186001,chr1,110527058,110528650,K562|chr1:110527058-110528650
1,340659.0,chr1,110186154,110186400,K562|chr1:110186154-110186400,chr1,110527058,110528650,K562|chr1:110527058-110528650
1,340598.0,chr1,110186400,110186461,K562|chr1:110186400-110186461,chr1,110527058,110528650,K562|chr1:110527058-110528650
1,339347.0,chr1,110187454,110187712,K562|chr1:110187454-110187712,chr1,110527058,110528650,K562|chr1:110527058-110528650
1,334672.0,chr1,110192068,110192387,K562|chr1:110192068-110192387,chr1,110527058,110528650,K562|chr1:110527058-110528650
1,210306.0,chr1,110316656,110316753,K562|chr1:110316656-110316753,chr1,110527058,110528650,K562|chr1:110527058-110528650
1,312896.0,chr1,112933800,112934079,K562|chr1:112933800-112934079,chr1,113246974,113250400,K562|chr1:113246974-113250400
1,202492.0,chr1,113044391,113044483,K562|chr1:113044391-113044483,chr1,113246974,113250400,K562|chr1:113246974-113250400
1,212336.0,chr1,113044391,113044483,K562|chr1:113044391-113044483,chr1,113256818,113258600,K562|chr1:113256818-113258600
1,201908.0,chr1,113044657,113045067,K562|chr1:113044657-113045067,chr1,113246974,113250400,K562|chr1:113246974-113250400
1,211752.0,chr1,113044657,113045067,K562|chr1:113044657-113045067,chr1,113256818,113258600,K562|chr1:113256818-113258600
1,716536.0,chr1,150228000,150228470,K562|chr1:150228000-150228470,chr1,150945005,150950206,K562|chr1:150945005-150950206
1,714668.0,chr1,150230125,150230338,K562|chr1:150230125-150230338,chr1,150945005,150950206,K562|chr1:150945005-150950206
1,712612.0,chr1,150232250,150232394,K562|chr1:150232250-150232394,chr1,150945005,150950206,K562|chr1:150945005-150950206
1,711860.0,chr1,150232400,150233146,K562|chr1:150232400-150233146,chr1,150945005,150950206,K562|chr1:150945005-150950206
1,700428.0,chr1,150244482,150244578,K562|chr1:150244482-150244578,chr1,150945005,150950206,K562|chr1:150945005-150950206
1,699784.0,chr1,150244943,150245222,K562|chr1:150244943-150245222,chr1,150945005,150950206,K562|chr1:150945005-150950206
1,697929.0,chr1,150246898,150247077,K562|chr1:150246898-150247077,chr1,150945005,150950206,K562|chr1:150945005-150950206
1,403590.0,chr1,150539800,150541416,K562|chr1:150539800-150541416,chr1,150945005,150950206,K562|chr1:150945005-150950206
1,403212.0,chr1,150541613,150541794,K562|chr1:150541613-150541794,chr1,150945005,150950206,K562|chr1:150945005-150950206
1,459884.0,chr1,153488189,153488638,K562|chr1:153488189-153488638,chr1,153948521,153951375,K562|chr1:153948521-153951375
1,469167.0,chr1,153488189,153488638,K562|chr1:153488189-153488638,chr1,153957804,153959600,K562|chr1:153957804-153959600
1,474307.0,chr1,153488189,153488638,K562|chr1:153488189-153488638,chr1,153962944,153965500,K562|chr1:153962944-153965500
1,450103.0,chr1,153498285,153498419,K562|chr1:153498285-153498419,chr1,153948521,153951375,K562|chr1:153948521-153951375
1,459386.0,chr1,153498285,153498419,K562|chr1:153498285-153498419,chr1,153957804,153959600,K562|chr1:153957804-153959600
1,464526.0,chr1,153498285,153498419,K562|chr1:153498285-153498419,chr1,153962944,153965500,K562|chr1:153962944-153965500
1,449726.0,chr1,153498538,153498796,K562|chr1:153498538-153498796,chr1,153948521,153951375,K562|chr1:153948521-153951375
1,459009.0,chr1,153498538,153498796,K562|chr1:153498538-153498796,chr1,153957804,153959600,K562|chr1:153957804-153959600
1,464149.0,chr1,153498538,153498796,K562|chr1:153498538-153498796,chr1,153962944,153965500,K562|chr1:153962944-153965500
1,449414.0,chr1,153498800,153499108,K562|chr1:153498800-153499108,chr1,153948521,153951375,K562|chr1:153948521-153951375
1,458697.0,chr1,153498800,153499108,K562|chr1:153498800-153499108,chr1,153957804,153959600,K562|chr1:153957804-153959600
1,463837.0,chr1,153498800,153499108,K562|chr1:153498800-153499108,chr1,153962944,153965500,K562|chr1:153962944-153965500
1,448986.0,chr1,153499208,153499536,K562|chr1:153499208-153499536,chr1,153948521,153951375,K562|chr1:153948521-153951375
1,458269.0,chr1,153499208,153499536,K562|chr1:153499208-153499536,chr1,153957804,153959600,K562|chr1:153957804-153959600
1,463409.0,chr1,153499208,153499536,K562|chr1:153499208-153499536,chr1,153962944,153965500,K562|chr1:153962944-153965500
1,170522.0,chr1,153777850,153778000,K562|chr1:153777850-153778000,chr1,153948521,153951375,K562|chr1:153948521-153951375
1,179805.0,chr1,153777850,153778000,K562|chr1:153777850-153778000,chr1,153957804,153959600,K562|chr1:153957804-153959600
1,170379.0,chr1,153778000,153778143,K562|chr1:153778000-153778143,chr1,153948521,153951375,K562|chr1:153948521-153951375
1,179662.0,chr1,153778000,153778143,K562|chr1:153778000-153778143,chr1,153957804,153959600,K562|chr1:153957804-153959600
1,266557.0,chr1,161452668,161452778,K562|chr1:161452668-161452778,chr1,161719334,161720778,K562|chr1:161719334-161720778
1,261509.0,chr1,161456977,161457826,K562|chr1:161456977-161457826,chr1,161719334,161720778,K562|chr1:161719334-161720778
