label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,54601.0,chr1,841000,841200,IMR90|chr1:841000-841200,chr1,895800,896000,IMR90|chr1:895800-896000
1,54401.0,chr1,841200,841400,IMR90|chr1:841200-841400,chr1,895800,896000,IMR90|chr1:895800-896000
1,53201.0,chr1,841600,842600,IMR90|chr1:841600-842600,chr1,895800,896000,IMR90|chr1:895800-896000
1,114601.0,chr1,2342400,2343000,IMR90|chr1:2342400-2343000,chr1,2457600,2458200,IMR90|chr1:2457600-2458200
1,112001.0,chr1,2345000,2345600,IMR90|chr1:2345000-2345600,chr1,2457600,2458200,IMR90|chr1:2457600-2458200
1,111201.0,chr1,2346200,2346400,IMR90|chr1:2346200-2346400,chr1,2457600,2458200,IMR90|chr1:2457600-2458200
1,70601.0,chr1,9932600,9932800,IMR90|chr1:9932600-9932800,chr1,10003400,10003600,IMR90|chr1:10003400-10003600
1,70201.0,chr1,9933000,9933200,IMR90|chr1:9933000-9933200,chr1,10003400,10003600,IMR90|chr1:10003400-10003600
1,70001.0,chr1,9933200,9933400,IMR90|chr1:9933200-9933400,chr1,10003400,10003600,IMR90|chr1:10003400-10003600
1,57601.0,chr1,20902000,20902200,IMR90|chr1:20902000-20902200,chr1,20959800,20960200,IMR90|chr1:20959800-20960200
1,57401.0,chr1,20902200,20902400,IMR90|chr1:20902200-20902400,chr1,20959800,20960200,IMR90|chr1:20959800-20960200
1,56401.0,chr1,20903200,20903400,IMR90|chr1:20903200-20903400,chr1,20959800,20960200,IMR90|chr1:20959800-20960200
1,93601.0,chr1,27625200,27625400,IMR90|chr1:27625200-27625400,chr1,27719000,27719200,IMR90|chr1:27719000-27719200
1,92801.0,chr1,27626000,27626200,IMR90|chr1:27626000-27626200,chr1,27719000,27719200,IMR90|chr1:27719000-27719200
1,90801.0,chr1,27627400,27628200,IMR90|chr1:27627400-27628200,chr1,27719000,27719200,IMR90|chr1:27719000-27719200
1,106401.0,chr1,31275000,31275200,IMR90|chr1:31275000-31275200,chr1,31381600,31381800,IMR90|chr1:31381600-31381800
1,377401.0,chr1,33560400,33560800,IMR90|chr1:33560400-33560800,chr1,33938200,33938400,IMR90|chr1:33938200-33938400
1,375601.0,chr1,33561800,33562600,IMR90|chr1:33561800-33562600,chr1,33938200,33938400,IMR90|chr1:33938200-33938400
1,372001.0,chr1,33563000,33566200,IMR90|chr1:33563000-33566200,chr1,33938200,33938400,IMR90|chr1:33938200-33938400
1,40201.0,chr1,33854600,33856200,IMR90|chr1:33854600-33856200,chr1,33896400,33896800,IMR90|chr1:33896400-33896800
1,39801.0,chr1,33856200,33856600,IMR90|chr1:33856200-33856600,chr1,33896400,33896800,IMR90|chr1:33896400-33896800
1,39201.0,chr1,33856600,33857200,IMR90|chr1:33856600-33857200,chr1,33896400,33896800,IMR90|chr1:33896400-33896800
1,38201.0,chr1,33858000,33858200,IMR90|chr1:33858000-33858200,chr1,33896400,33896800,IMR90|chr1:33896400-33896800
1,38001.0,chr1,33858200,33858400,IMR90|chr1:33858200-33858400,chr1,33896400,33896800,IMR90|chr1:33896400-33896800
1,35801.0,chr1,33859400,33860600,IMR90|chr1:33859400-33860600,chr1,33896400,33896800,IMR90|chr1:33896400-33896800
1,354801.0,chr1,35667800,35668200,IMR90|chr1:35667800-35668200,chr1,36023000,36023400,IMR90|chr1:36023000-36023400
1,176201.0,chr1,45301400,45301600,IMR90|chr1:45301400-45301600,chr1,45477800,45478000,IMR90|chr1:45477800-45478000
1,175801.0,chr1,45301600,45302000,IMR90|chr1:45301600-45302000,chr1,45477800,45478000,IMR90|chr1:45477800-45478000
1,476001.0,chr1,45480200,45480400,IMR90|chr1:45480200-45480400,chr1,45956400,45957200,IMR90|chr1:45956400-45957200
1,475801.0,chr1,45480400,45480600,IMR90|chr1:45480400-45480600,chr1,45956400,45957200,IMR90|chr1:45956400-45957200
1,142201.0,chr1,45814000,45814200,IMR90|chr1:45814000-45814200,chr1,45956400,45957200,IMR90|chr1:45956400-45957200
1,125801.0,chr1,68024600,68024800,IMR90|chr1:68024600-68024800,chr1,68150600,68151000,IMR90|chr1:68150600-68151000
1,122801.0,chr1,68027600,68027800,IMR90|chr1:68027600-68027800,chr1,68150600,68151000,IMR90|chr1:68150600-68151000
1,122601.0,chr1,68027800,68028000,IMR90|chr1:68027800-68028000,chr1,68150600,68151000,IMR90|chr1:68150600-68151000
1,54801.0,chr1,70821200,70821400,IMR90|chr1:70821200-70821400,chr1,70876200,70877000,IMR90|chr1:70876200-70877000
1,493201.0,chr1,103574600,103574800,IMR90|chr1:103574600-103574800,chr1,104068000,104068400,IMR90|chr1:104068000-104068400
1,493001.0,chr1,103574800,103575000,IMR90|chr1:103574800-103575000,chr1,104068000,104068400,IMR90|chr1:104068000-104068400
1,492801.0,chr1,103575000,103575200,IMR90|chr1:103575000-103575200,chr1,104068000,104068400,IMR90|chr1:104068000-104068400
1,134001.0,chr1,109806000,109806400,IMR90|chr1:109806000-109806400,chr1,109940400,109940800,IMR90|chr1:109940400-109940800
1,133801.0,chr1,109806400,109806600,IMR90|chr1:109806400-109806600,chr1,109940400,109940800,IMR90|chr1:109940400-109940800
1,130401.0,chr1,109809800,109810000,IMR90|chr1:109809800-109810000,chr1,109940400,109940800,IMR90|chr1:109940400-109940800
1,341001.0,chr1,110185800,110186200,IMR90|chr1:110185800-110186200,chr1,110527200,110527400,IMR90|chr1:110527200-110527400
1,340601.0,chr1,110186200,110186600,IMR90|chr1:110186200-110186600,chr1,110527200,110527400,IMR90|chr1:110527200-110527400
1,340401.0,chr1,110186600,110186800,IMR90|chr1:110186600-110186800,chr1,110527200,110527400,IMR90|chr1:110527200-110527400
1,48601.0,chr1,150849800,150850000,IMR90|chr1:150849800-150850000,chr1,150898600,150898800,IMR90|chr1:150898600-150898800
1,126201.0,chr1,153479400,153480200,IMR90|chr1:153479400-153480200,chr1,153606400,153606600,IMR90|chr1:153606400-153606600
1,125801.0,chr1,153480400,153480600,IMR90|chr1:153480400-153480600,chr1,153606400,153606600,IMR90|chr1:153606400-153606600
1,125601.0,chr1,153480600,153480800,IMR90|chr1:153480600-153480800,chr1,153606400,153606600,IMR90|chr1:153606400-153606600
1,122601.0,chr1,153483400,153483800,IMR90|chr1:153483400-153483800,chr1,153606400,153606600,IMR90|chr1:153606400-153606600
1,180001.0,chr1,153778600,153778800,IMR90|chr1:153778600-153778800,chr1,153958800,153959000,IMR90|chr1:153958800-153959000
1,44401.0,chr1,154930000,154930200,IMR90|chr1:154930000-154930200,chr1,154974600,154975200,IMR90|chr1:154974600-154975200
1,253801.0,chr1,169082600,169083200,IMR90|chr1:169082600-169083200,chr1,169337000,169337400,IMR90|chr1:169337000-169337400
1,248601.0,chr1,169087600,169088400,IMR90|chr1:169087600-169088400,chr1,169337000,169337400,IMR90|chr1:169337000-169337400
1,248001.0,chr1,169088600,169089000,IMR90|chr1:169088600-169089000,chr1,169337000,169337400,IMR90|chr1:169337000-169337400
1,247201.0,chr1,169089600,169089800,IMR90|chr1:169089600-169089800,chr1,169337000,169337400,IMR90|chr1:169337000-169337400
1,247001.0,chr1,169089800,169090000,IMR90|chr1:169089800-169090000,chr1,169337000,169337400,IMR90|chr1:169337000-169337400
1,393401.0,chr1,173399800,173400200,IMR90|chr1:173399800-173400200,chr1,173793600,173794000,IMR90|chr1:173793600-173794000
1,392601.0,chr1,173400600,173401000,IMR90|chr1:173400600-173401000,chr1,173793600,173794000,IMR90|chr1:173793600-173794000
1,183601.0,chr1,178509400,178510600,IMR90|chr1:178509400-178510600,chr1,178694200,178694400,IMR90|chr1:178694200-178694400
