bin,enhancer_chrom,enhancer_distance_to_promoter,enhancer_end,enhancer_name,enhancer_start,label,promoter_chrom,promoter_end,promoter_name,promoter_start,window_end,window_start,window_chrom,window_name,interactions_in_window,active_promoters_in_window
"[33835, 131310.8]",chr1,119012.0,3421842,HUVEC|chr1:3420459-3421842,3420459,1,chr1,3541719,HUVEC|chr1:3540856-3541719,3540856,3540855.0,3421843.0,chr1,HUVEC|chr1:3421843-3540855,1.0,0.0
"(305587.4, 495816.4]",chr1,482121.0,12193661,HUVEC|chr1:12193000-12193661,12193000,1,chr1,12680000,HUVEC|chr1:12675784-12680000,12675784,12675783.0,12193662.0,chr1,HUVEC|chr1:12193662-12675783,1.0,2.0
"(131310.8, 218794.8]",chr1,174270.0,16127559,HUVEC|chr1:16125278-16127559,16125278,1,chr1,16302773,HUVEC|chr1:16301831-16302773,16301831,16301830.0,16127560.0,chr1,HUVEC|chr1:16127560-16301830,1.0,1.0
"(218794.8, 305587.4]",chr1,277180.0,16400647,HUVEC|chr1:16399453-16400647,16399453,1,chr1,16679559,HUVEC|chr1:16677829-16679559,16677829,16677828.0,16400648.0,chr1,HUVEC|chr1:16400648-16677828,2.0,2.0
"(218794.8, 305587.4]",chr1,274977.0,16402850,HUVEC|chr1:16402337-16402850,16402337,1,chr1,16679559,HUVEC|chr1:16677829-16679559,16677829,16677828.0,16402851.0,chr1,HUVEC|chr1:16402851-16677828,1.0,2.0
"(218794.8, 305587.4]",chr1,272635.0,20539800,HUVEC|chr1:20539704-20539800,20539704,1,chr1,20812780,HUVEC|chr1:20812437-20812780,20812437,20812436.0,20539801.0,chr1,HUVEC|chr1:20539801-20812436,1.0,0.0
"(131310.8, 218794.8]",chr1,200403.0,23303152,HUVEC|chr1:23302083-23303152,23302083,1,chr1,23504800,HUVEC|chr1:23503557-23504800,23503557,23503556.0,23303153.0,chr1,HUVEC|chr1:23303153-23503556,1.0,1.0
"(495816.4, 1672258]",chr1,507359.0,23303152,HUVEC|chr1:23302083-23303152,23302083,1,chr1,23811327,HUVEC|chr1:23810513-23811327,23810513,23810512.0,23303153.0,chr1,HUVEC|chr1:23303153-23810512,2.0,4.0
"[33835, 131310.8]",chr1,123693.0,26361800,HUVEC|chr1:26361217-26361800,26361217,1,chr1,26485791,HUVEC|chr1:26485495-26485791,26485495,26485494.0,26361801.0,chr1,HUVEC|chr1:26361801-26485494,3.0,1.0
"(131310.8, 218794.8]",chr1,134433.0,26361800,HUVEC|chr1:26361217-26361800,26361217,1,chr1,26496990,HUVEC|chr1:26496235-26496990,26496235,26496234.0,26361801.0,chr1,HUVEC|chr1:26361801-26496234,6.0,2.0
"[33835, 131310.8]",chr1,122493.0,26363000,HUVEC|chr1:26362769-26363000,26362769,1,chr1,26485791,HUVEC|chr1:26485495-26485791,26485495,26485494.0,26363001.0,chr1,HUVEC|chr1:26363001-26485494,2.0,1.0
"(131310.8, 218794.8]",chr1,133233.0,26363000,HUVEC|chr1:26362769-26363000,26362769,1,chr1,26496990,HUVEC|chr1:26496235-26496990,26496235,26496234.0,26363001.0,chr1,HUVEC|chr1:26363001-26496234,4.0,2.0
"[33835, 131310.8]",chr1,122458.0,26363035,HUVEC|chr1:26363000-26363035,26363000,1,chr1,26485791,HUVEC|chr1:26485495-26485791,26485495,26485494.0,26363036.0,chr1,HUVEC|chr1:26363036-26485494,1.0,1.0
"(131310.8, 218794.8]",chr1,133198.0,26363035,HUVEC|chr1:26363000-26363035,26363000,1,chr1,26496990,HUVEC|chr1:26496235-26496990,26496235,26496234.0,26363036.0,chr1,HUVEC|chr1:26363036-26496234,2.0,2.0
"[33835, 131310.8]",chr1,67362.0,27931200,HUVEC|chr1:27930800-27931200,27930800,1,chr1,27999297,HUVEC|chr1:27998564-27999297,27998564,27998563.0,27931201.0,chr1,HUVEC|chr1:27931201-27998563,1.0,0.0
"(218794.8, 305587.4]",chr1,296431.0,29210597,HUVEC|chr1:29210139-29210597,29210139,1,chr1,29509028,HUVEC|chr1:29507030-29509028,29507030,29507029.0,29210598.0,chr1,HUVEC|chr1:29210598-29507029,2.0,1.0
"(218794.8, 305587.4]",chr1,295428.0,29211600,HUVEC|chr1:29210755-29211600,29210755,1,chr1,29509028,HUVEC|chr1:29507030-29509028,29507030,29507029.0,29211601.0,chr1,HUVEC|chr1:29211601-29507029,1.0,1.0
"[33835, 131310.8]",chr1,49293.0,38275329,HUVEC|chr1:38275200-38275329,38275200,1,chr1,38326176,HUVEC|chr1:38324624-38326176,38324624,38324623.0,38275330.0,chr1,HUVEC|chr1:38275330-38324623,1.0,0.0
"(305587.4, 495816.4]",chr1,404775.0,44007112,HUVEC|chr1:44006065-44007112,44006065,1,chr1,44413016,HUVEC|chr1:44411889-44413016,44411889,44411888.0,44007113.0,chr1,HUVEC|chr1:44007113-44411888,1.0,1.0
"(131310.8, 218794.8]",chr1,143105.0,45308792,HUVEC|chr1:45308294-45308792,45308294,1,chr1,45452598,HUVEC|chr1:45451899-45452598,45451899,45451898.0,45308793.0,chr1,HUVEC|chr1:45308793-45451898,2.0,0.0
"(131310.8, 218794.8]",chr1,142511.0,45309386,HUVEC|chr1:45309002-45309386,45309002,1,chr1,45452598,HUVEC|chr1:45451899-45452598,45451899,45451898.0,45309387.0,chr1,HUVEC|chr1:45309387-45451898,1.0,0.0
"(131310.8, 218794.8]",chr1,134521.0,45821675,HUVEC|chr1:45821528-45821675,45821528,1,chr1,45957179,HUVEC|chr1:45956198-45957179,45956198,45956197.0,45821676.0,chr1,HUVEC|chr1:45821676-45956197,2.0,0.0
"[33835, 131310.8]",chr1,129314.0,45826882,HUVEC|chr1:45826723-45826882,45826723,1,chr1,45957179,HUVEC|chr1:45956198-45957179,45956198,45956197.0,45826883.0,chr1,HUVEC|chr1:45826883-45956197,1.0,0.0
"(495816.4, 1672258]",chr1,509837.0,59252052,HUVEC|chr1:59251400-59252052,59251400,1,chr1,59763248,HUVEC|chr1:59761891-59763248,59761891,59761890.0,59252053.0,chr1,HUVEC|chr1:59252053-59761890,2.0,0.0
