label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,170927.0,chr1,3370074,3370200,HeLa-S3|chr1:3370074-3370200,chr1,3541126,3541592,HeLa-S3|chr1:3541126-3541592
1,170727.0,chr1,3370200,3370400,HeLa-S3|chr1:3370200-3370400,chr1,3541126,3541592,HeLa-S3|chr1:3541126-3541592
1,276008.0,chr1,16401660,16402400,HeLa-S3|chr1:16401660-16402400,chr1,16678407,16679424,HeLa-S3|chr1:16678407-16679424
1,273773.0,chr1,16404200,16404635,HeLa-S3|chr1:16404200-16404635,chr1,16678407,16679424,HeLa-S3|chr1:16678407-16679424
1,271973.0,chr1,16405559,16406435,HeLa-S3|chr1:16405559-16406435,chr1,16678407,16679424,HeLa-S3|chr1:16678407-16679424
1,102107.0,chr1,20857507,20857743,HeLa-S3|chr1:20857507-20857743,chr1,20959849,20960481,HeLa-S3|chr1:20959849-20960481
1,480095.0,chr1,21022734,21023000,HeLa-S3|chr1:21022734-21023000,chr1,21503094,21503569,HeLa-S3|chr1:21503094-21503569
1,104137.0,chr1,26219715,26220061,HeLa-S3|chr1:26219715-26220061,chr1,26324197,26325090,HeLa-S3|chr1:26324197-26325090
1,103821.0,chr1,26220280,26220377,HeLa-S3|chr1:26220280-26220377,chr1,26324197,26325090,HeLa-S3|chr1:26324197-26325090
1,101798.0,chr1,26222266,26222400,HeLa-S3|chr1:26222266-26222400,chr1,26324197,26325090,HeLa-S3|chr1:26324197-26325090
1,101333.0,chr1,26222400,26222865,HeLa-S3|chr1:26222400-26222865,chr1,26324197,26325090,HeLa-S3|chr1:26324197-26325090
1,167874.0,chr1,26945876,26946000,HeLa-S3|chr1:26945876-26946000,chr1,27113873,27115244,HeLa-S3|chr1:27113873-27115244
1,119042.0,chr1,28576000,28576885,HeLa-S3|chr1:28576000-28576885,chr1,28695926,28697110,HeLa-S3|chr1:28695926-28697110
1,117272.0,chr1,28577401,28578655,HeLa-S3|chr1:28577401-28578655,chr1,28695926,28697110,HeLa-S3|chr1:28695926-28697110
1,110727.0,chr1,28584889,28585200,HeLa-S3|chr1:28584889-28585200,chr1,28695926,28697110,HeLa-S3|chr1:28695926-28697110
1,106327.0,chr1,28589515,28589600,HeLa-S3|chr1:28589515-28589600,chr1,28695926,28697110,HeLa-S3|chr1:28695926-28697110
1,296499.0,chr1,29210991,29211000,HeLa-S3|chr1:29210991-29211000,chr1,29507498,29508846,HeLa-S3|chr1:29507498-29508846
1,295162.0,chr1,29211000,29212337,HeLa-S3|chr1:29211000-29212337,chr1,29507498,29508846,HeLa-S3|chr1:29507498-29508846
1,294499.0,chr1,29212872,29213000,HeLa-S3|chr1:29212872-29213000,chr1,29507498,29508846,HeLa-S3|chr1:29507498-29508846
1,292416.0,chr1,29214600,29215083,HeLa-S3|chr1:29214600-29215083,chr1,29507498,29508846,HeLa-S3|chr1:29507498-29508846
1,175343.0,chr1,45274200,45276600,HeLa-S3|chr1:45274200-45276600,chr1,45451942,45452558,HeLa-S3|chr1:45451942-45452558
1,175294.0,chr1,45276600,45276649,HeLa-S3|chr1:45276600-45276649,chr1,45451942,45452558,HeLa-S3|chr1:45451942-45452558
1,174757.0,chr1,45277084,45277186,HeLa-S3|chr1:45277084-45277186,chr1,45451942,45452558,HeLa-S3|chr1:45451942-45452558
1,174188.0,chr1,45277284,45277755,HeLa-S3|chr1:45277284-45277755,chr1,45451942,45452558,HeLa-S3|chr1:45451942-45452558
