label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,140601,chr1,3399800,3400600,NHEK|chr1:3399800-3400600,chr1,3541200,3542000,NHEK|chr1:3541200-3542000
1,133001,chr1,3408000,3408200,NHEK|chr1:3408000-3408200,chr1,3541200,3542000,NHEK|chr1:3541200-3542000
1,132401,chr1,3408600,3408800,NHEK|chr1:3408600-3408800,chr1,3541200,3542000,NHEK|chr1:3541200-3542000
1,120201,chr1,3420800,3421000,NHEK|chr1:3420800-3421000,chr1,3541200,3542000,NHEK|chr1:3541200-3542000
1,119801,chr1,3421000,3421400,NHEK|chr1:3421000-3421400,chr1,3541200,3542000,NHEK|chr1:3541200-3542000
1,119401,chr1,3421600,3421800,NHEK|chr1:3421600-3421800,chr1,3541200,3542000,NHEK|chr1:3541200-3542000
1,480201,chr1,21022600,21022800,NHEK|chr1:21022600-21022800,chr1,21503000,21503600,NHEK|chr1:21503000-21503600
1,477601,chr1,21024000,21025400,NHEK|chr1:21024000-21025400,chr1,21503000,21503600,NHEK|chr1:21503000-21503600
1,102201,chr1,26221800,26222200,NHEK|chr1:26221800-26222200,chr1,26324400,26324800,NHEK|chr1:26324400-26324800
1,102001,chr1,26222200,26222400,NHEK|chr1:26222200-26222400,chr1,26324400,26324800,NHEK|chr1:26324400-26324800
1,101001,chr1,26223200,26223400,NHEK|chr1:26223200-26223400,chr1,26324400,26324800,NHEK|chr1:26324400-26324800
1,293801,chr1,27424800,27425200,NHEK|chr1:27424800-27425200,chr1,27719000,27719200,NHEK|chr1:27719000-27719200
1,292201,chr1,27426400,27426800,NHEK|chr1:27426400-27426800,chr1,27719000,27719200,NHEK|chr1:27719000-27719200
1,280401,chr1,27438000,27438600,NHEK|chr1:27438000-27438600,chr1,27719000,27719200,NHEK|chr1:27719000-27719200
1,279801,chr1,27438600,27439200,NHEK|chr1:27438600-27439200,chr1,27719000,27719200,NHEK|chr1:27719000-27719200
1,269401,chr1,27449400,27449600,NHEK|chr1:27449400-27449600,chr1,27719000,27719200,NHEK|chr1:27719000-27719200
1,154801,chr1,33390800,33391800,NHEK|chr1:33390800-33391800,chr1,33546600,33546800,NHEK|chr1:33546600-33546800
1,146801,chr1,33399400,33399800,NHEK|chr1:33399400-33399800,chr1,33546600,33546800,NHEK|chr1:33546600-33546800
1,146401,chr1,33399800,33400200,NHEK|chr1:33399800-33400200,chr1,33546600,33546800,NHEK|chr1:33546600-33546800
1,321401,chr1,42802200,42802400,NHEK|chr1:42802200-42802400,chr1,43123800,43124200,NHEK|chr1:43123800-43124200
1,175201,chr1,45276600,45277000,NHEK|chr1:45276600-45277000,chr1,45452200,45452400,NHEK|chr1:45452200-45452400
1,174801,chr1,45277000,45277400,NHEK|chr1:45277000-45277400,chr1,45452200,45452400,NHEK|chr1:45452200-45452400
1,174201,chr1,45277600,45278000,NHEK|chr1:45277600-45278000,chr1,45452200,45452400,NHEK|chr1:45452200-45452400
1,173601,chr1,45278000,45278600,NHEK|chr1:45278000-45278600,chr1,45452200,45452400,NHEK|chr1:45452200-45452400
1,172201,chr1,45279200,45280000,NHEK|chr1:45279200-45280000,chr1,45452200,45452400,NHEK|chr1:45452200-45452400
1,171001,chr1,45280600,45281200,NHEK|chr1:45280600-45281200,chr1,45452200,45452400,NHEK|chr1:45452200-45452400
1,170801,chr1,45281200,45281400,NHEK|chr1:45281200-45281400,chr1,45452200,45452400,NHEK|chr1:45452200-45452400
1,168601,chr1,45282800,45283600,NHEK|chr1:45282800-45283600,chr1,45452200,45452400,NHEK|chr1:45452200-45452400
1,168401,chr1,45283600,45283800,NHEK|chr1:45283600-45283800,chr1,45452200,45452400,NHEK|chr1:45452200-45452400
1,167601,chr1,45284000,45284600,NHEK|chr1:45284000-45284600,chr1,45452200,45452400,NHEK|chr1:45452200-45452400
1,167401,chr1,45284600,45284800,NHEK|chr1:45284600-45284800,chr1,45452200,45452400,NHEK|chr1:45452200-45452400
1,165601,chr1,45286400,45286600,NHEK|chr1:45286400-45286600,chr1,45452200,45452400,NHEK|chr1:45452200-45452400
1,130401,chr1,45825600,45825800,NHEK|chr1:45825600-45825800,chr1,45956200,45957200,NHEK|chr1:45956200-45957200
1,139801,chr1,45825600,45825800,NHEK|chr1:45825600-45825800,chr1,45965600,45966000,NHEK|chr1:45965600-45966000
1,129401,chr1,45825800,45826800,NHEK|chr1:45825800-45826800,chr1,45956200,45957200,NHEK|chr1:45956200-45957200
1,138801,chr1,45825800,45826800,NHEK|chr1:45825800-45826800,chr1,45965600,45966000,NHEK|chr1:45965600-45966000
1,129001,chr1,45827000,45827200,NHEK|chr1:45827000-45827200,chr1,45956200,45957200,NHEK|chr1:45956200-45957200
1,138401,chr1,45827000,45827200,NHEK|chr1:45827000-45827200,chr1,45965600,45966000,NHEK|chr1:45965600-45966000
1,108801,chr1,45847000,45847400,NHEK|chr1:45847000-45847400,chr1,45956200,45957200,NHEK|chr1:45956200-45957200
1,118201,chr1,45847000,45847400,NHEK|chr1:45847000-45847400,chr1,45965600,45966000,NHEK|chr1:45965600-45966000
1,77801,chr1,93348400,93348800,NHEK|chr1:93348400-93348800,chr1,93426600,93427600,NHEK|chr1:93426600-93427600
1,139601,chr1,109799800,109800400,NHEK|chr1:109799800-109800400,chr1,109940000,109940600,NHEK|chr1:109940000-109940600
1,139401,chr1,109800400,109800600,NHEK|chr1:109800400-109800600,chr1,109940000,109940600,NHEK|chr1:109940000-109940600
1,134401,chr1,109805400,109805600,NHEK|chr1:109805400-109805600,chr1,109940000,109940600,NHEK|chr1:109940000-109940600
1,133201,chr1,109806400,109806800,NHEK|chr1:109806400-109806800,chr1,109940000,109940600,NHEK|chr1:109940000-109940600
1,133001,chr1,109806800,109807000,NHEK|chr1:109806800-109807000,chr1,109940000,109940600,NHEK|chr1:109940000-109940600
1,130001,chr1,109809800,109810000,NHEK|chr1:109809800-109810000,chr1,109940000,109940600,NHEK|chr1:109940000-109940600
1,348401,chr1,110178600,110178800,NHEK|chr1:110178600-110178800,chr1,110527200,110527400,NHEK|chr1:110527200-110527400
1,347601,chr1,110178800,110179600,NHEK|chr1:110178800-110179600,chr1,110527200,110527400,NHEK|chr1:110527200-110527400
1,340601,chr1,110185800,110186600,NHEK|chr1:110185800-110186600,chr1,110527200,110527400,NHEK|chr1:110527200-110527400
1,329201,chr1,110197800,110198000,NHEK|chr1:110197800-110198000,chr1,110527200,110527400,NHEK|chr1:110527200-110527400
1,329001,chr1,110198000,110198200,NHEK|chr1:110198000-110198200,chr1,110527200,110527400,NHEK|chr1:110527200-110527400
1,327601,chr1,110199200,110199600,NHEK|chr1:110199200-110199600,chr1,110527200,110527400,NHEK|chr1:110527200-110527400
1,201801,chr1,110325200,110325400,NHEK|chr1:110325200-110325400,chr1,110527200,110527400,NHEK|chr1:110527200-110527400
1,201001,chr1,110325600,110326200,NHEK|chr1:110325600-110326200,chr1,110527200,110527400,NHEK|chr1:110527200-110527400
1,200601,chr1,110326200,110326600,NHEK|chr1:110326200-110326600,chr1,110527200,110527400,NHEK|chr1:110527200-110527400
1,200201,chr1,110326600,110327000,NHEK|chr1:110326600-110327000,chr1,110527200,110527400,NHEK|chr1:110527200-110527400
1,197201,chr1,110329600,110330000,NHEK|chr1:110329600-110330000,chr1,110527200,110527400,NHEK|chr1:110527200-110527400
1,180601,chr1,153777600,153778200,NHEK|chr1:153777600-153778200,chr1,153958800,153959000,NHEK|chr1:153958800-153959000
1,180201,chr1,153778200,153778600,NHEK|chr1:153778200-153778600,chr1,153958800,153959000,NHEK|chr1:153958800-153959000
1,268801,chr1,161450400,161450600,NHEK|chr1:161450400-161450600,chr1,161719400,161719600,NHEK|chr1:161719400-161719600
1,268601,chr1,161450600,161450800,NHEK|chr1:161450600-161450800,chr1,161719400,161719600,NHEK|chr1:161719400-161719600
1,268001,chr1,161450800,161451400,NHEK|chr1:161450800-161451400,chr1,161719400,161719600,NHEK|chr1:161719400-161719600
1,267201,chr1,161452000,161452200,NHEK|chr1:161452000-161452200,chr1,161719400,161719600,NHEK|chr1:161719400-161719600
1,262201,chr1,161457000,161457200,NHEK|chr1:161457000-161457200,chr1,161719400,161719600,NHEK|chr1:161719400-161719600
1,261801,chr1,161457400,161457600,NHEK|chr1:161457400-161457600,chr1,161719400,161719600,NHEK|chr1:161719400-161719600
1,466001,chr1,162825200,162825400,NHEK|chr1:162825200-162825400,chr1,163291400,163292000,NHEK|chr1:163291400-163292000
1,465401,chr1,162825400,162826000,NHEK|chr1:162825400-162826000,chr1,163291400,163292000,NHEK|chr1:163291400-163292000
1,465201,chr1,162826000,162826200,NHEK|chr1:162826000-162826200,chr1,163291400,163292000,NHEK|chr1:163291400-163292000
1,464801,chr1,162826400,162826600,NHEK|chr1:162826400-162826600,chr1,163291400,163292000,NHEK|chr1:163291400-163292000
1,463601,chr1,162827000,162827800,NHEK|chr1:162827000-162827800,chr1,163291400,163292000,NHEK|chr1:163291400-163292000
1,248801,chr1,163042400,163042600,NHEK|chr1:163042400-163042600,chr1,163291400,163292000,NHEK|chr1:163291400-163292000
1,248401,chr1,163042600,163043000,NHEK|chr1:163042600-163043000,chr1,163291400,163292000,NHEK|chr1:163291400-163292000
1,160801,chr1,167028200,167029000,NHEK|chr1:167028200-167029000,chr1,167189800,167190800,NHEK|chr1:167189800-167190800
1,153801,chr1,167035800,167036000,NHEK|chr1:167035800-167036000,chr1,167189800,167190800,NHEK|chr1:167189800-167190800
