label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,75423.0,chr16,154577,155481,K562|chr16:154577-155481,chr16,228952,230952,K562|chr16:230451-230452
1,74716.5,chr16,155634,155837,K562|chr16:155634-155837,chr16,228952,230952,K562|chr16:230451-230452
1,73224.5,chr16,157053,157402,K562|chr16:157053-157402,chr16,228952,230952,K562|chr16:230451-230452
1,72431.5,chr16,157890,158151,K562|chr16:157890-158151,chr16,228952,230952,K562|chr16:230451-230452
1,98988.0,chr11,350119,350311,K562|chr11:350119-350311,chr11,249727,251727,K562|chr11:251226-251227
1,99329.0,chr11,350462,350650,K562|chr11:350462-350650,chr11,249727,251727,K562|chr11:251226-251227
1,99735.5,chr11,350651,351274,K562|chr11:350651-351274,chr11,249727,251727,K562|chr11:251226-251227
1,102269.0,chr11,353087,353905,K562|chr11:353087-353905,chr11,249727,251727,K562|chr11:251226-251227
1,102863.0,chr11,353936,354244,K562|chr11:353936-354244,chr11,249727,251727,K562|chr11:251226-251227
1,103334.0,chr11,354492,354630,K562|chr11:354492-354630,chr11,249727,251727,K562|chr11:251226-251227
1,103588.0,chr11,354714,354916,K562|chr11:354714-354916,chr11,249727,251727,K562|chr11:251226-251227
1,104716.5,chr11,355354,356533,K562|chr11:355354-356533,chr11,249727,251727,K562|chr11:251226-251227
1,47623.5,chr11,355354,356533,K562|chr11:355354-356533,chr11,306820,308820,K562|chr11:308319-308320
1,47726.5,chr11,355354,356533,K562|chr11:355354-356533,chr11,306717,308717,K562|chr11:308216-308217
1,47780.5,chr11,355354,356533,K562|chr11:355354-356533,chr11,306663,308663,K562|chr11:308162-308163
1,116272.0,chr7,675119,675517,K562|chr7:675119-675517,chr7,558546,560546,K562|chr7:559045-559046
1,117246.5,chr7,676161,676424,K562|chr7:676161-676424,chr7,558546,560546,K562|chr7:559045-559046
1,182101.5,chr12,678895,680420,K562|chr12:678895-680420,chr12,860259,862259,K562|chr12:861758-861759
1,176415.0,chr12,684948,685740,K562|chr12:684948-685740,chr12,860259,862259,K562|chr12:861758-861759
1,373544.0,chr12,684948,685740,K562|chr12:684948-685740,chr12,1058388,1060388,K562|chr12:1058887-1058888
