label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,140601.0,chr1,3399800,3400600,NHEK|chr1:3399800-3400600,chr1,3541200,3542000,NHEK|chr1:3541200-3542000
1,133001.0,chr1,3408000,3408200,NHEK|chr1:3408000-3408200,chr1,3541200,3542000,NHEK|chr1:3541200-3542000
1,132401.0,chr1,3408600,3408800,NHEK|chr1:3408600-3408800,chr1,3541200,3542000,NHEK|chr1:3541200-3542000
1,120201.0,chr1,3420800,3421000,NHEK|chr1:3420800-3421000,chr1,3541200,3542000,NHEK|chr1:3541200-3542000
1,119801.0,chr1,3421000,3421400,NHEK|chr1:3421000-3421400,chr1,3541200,3542000,NHEK|chr1:3541200-3542000
1,119401.0,chr1,3421600,3421800,NHEK|chr1:3421600-3421800,chr1,3541200,3542000,NHEK|chr1:3541200-3542000
1,480201.0,chr1,21022600,21022800,NHEK|chr1:21022600-21022800,chr1,21503000,21503600,NHEK|chr1:21503000-21503600
1,477601.0,chr1,21024000,21025400,NHEK|chr1:21024000-21025400,chr1,21503000,21503600,NHEK|chr1:21503000-21503600
1,102201.0,chr1,26221800,26222200,NHEK|chr1:26221800-26222200,chr1,26324400,26324800,NHEK|chr1:26324400-26324800
1,102001.0,chr1,26222200,26222400,NHEK|chr1:26222200-26222400,chr1,26324400,26324800,NHEK|chr1:26324400-26324800
1,101001.0,chr1,26223200,26223400,NHEK|chr1:26223200-26223400,chr1,26324400,26324800,NHEK|chr1:26324400-26324800
1,293801.0,chr1,27424800,27425200,NHEK|chr1:27424800-27425200,chr1,27719000,27719200,NHEK|chr1:27719000-27719200
1,292201.0,chr1,27426400,27426800,NHEK|chr1:27426400-27426800,chr1,27719000,27719200,NHEK|chr1:27719000-27719200
1,280401.0,chr1,27438000,27438600,NHEK|chr1:27438000-27438600,chr1,27719000,27719200,NHEK|chr1:27719000-27719200
1,279801.0,chr1,27438600,27439200,NHEK|chr1:27438600-27439200,chr1,27719000,27719200,NHEK|chr1:27719000-27719200
1,269401.0,chr1,27449400,27449600,NHEK|chr1:27449400-27449600,chr1,27719000,27719200,NHEK|chr1:27719000-27719200
1,154801.0,chr1,33390800,33391800,NHEK|chr1:33390800-33391800,chr1,33546600,33546800,NHEK|chr1:33546600-33546800
1,146801.0,chr1,33399400,33399800,NHEK|chr1:33399400-33399800,chr1,33546600,33546800,NHEK|chr1:33546600-33546800
1,146401.0,chr1,33399800,33400200,NHEK|chr1:33399800-33400200,chr1,33546600,33546800,NHEK|chr1:33546600-33546800
