label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,182101.5,chr12,678895,680420,HeLa|chr12:678895-680420,chr12,860259,862259,HeLa|chr12:861758-861759
1,176415.0,chr12,684948,685740,HeLa|chr12:684948-685740,chr12,860259,862259,HeLa|chr12:861758-861759
1,11449.5,chr19,771277,771334,HeLa|chr19:771277-771334,chr19,781255,783255,HeLa|chr19:782754-782755
1,11490.5,chr19,771277,771334,HeLa|chr19:771277-771334,chr19,781296,783296,HeLa|chr19:782795-782796
1,11269.5,chr19,771338,771633,HeLa|chr19:771338-771633,chr19,781255,783255,HeLa|chr19:782754-782755
1,11310.5,chr19,771338,771633,HeLa|chr19:771338-771633,chr19,781296,783296,HeLa|chr19:782795-782796
1,166117.5,chr12,1224514,1225497,HeLa|chr12:1224514-1225497,chr12,1058388,1060388,HeLa|chr12:1058887-1058888
1,8605.5,chr7,1552325,1552892,HeLa|chr7:1552325-1552892,chr7,1543503,1545503,HeLa|chr7:1544002-1544003
1,9123.0,chr7,1552910,1553342,HeLa|chr7:1552910-1553342,chr7,1543503,1545503,HeLa|chr7:1544002-1544003
1,352305.0,chr11,2553895,2555453,HeLa|chr11:2553895-2555453,chr11,2906479,2908479,HeLa|chr11:2906978-2906979
1,351297.5,chr11,2555525,2555838,HeLa|chr11:2555525-2555838,chr11,2906479,2908479,HeLa|chr11:2906978-2906979
1,50625.5,chr6,2791456,2791773,HeLa|chr6:2791456-2791773,chr6,2841740,2843740,HeLa|chr6:2842239-2842240
1,142329.5,chr6,2846522,2846583,HeLa|chr6:2846522-2846583,chr6,2987382,2989382,HeLa|chr6:2988881-2988882
1,141897.0,chr6,2846585,2847385,HeLa|chr6:2846585-2847385,chr6,2987382,2989382,HeLa|chr6:2988881-2988882
1,36925.5,chr11,2913257,2914262,HeLa|chr11:2913257-2914262,chr11,2950185,2952185,HeLa|chr11:2950684-2950685
1,108019.5,chr11,3058530,3058879,HeLa|chr11:3058530-3058879,chr11,2950185,2952185,HeLa|chr11:2950684-2950685
1,33962.5,chr16,3215891,3216120,HeLa|chr16:3215891-3216120,chr16,3181543,3183543,HeLa|chr16:3182042-3182043
1,34162.5,chr16,3216127,3216284,HeLa|chr16:3216127-3216284,chr16,3181543,3183543,HeLa|chr16:3182042-3182043
1,74632.5,chr18,3380423,3381136,HeLa|chr18:3380423-3381136,chr18,3453912,3455912,HeLa|chr18:3455411-3455412
1,71825.0,chr18,3665722,3666148,HeLa|chr18:3665722-3666148,chr18,3592610,3594610,HeLa|chr18:3594109-3594110
1,13041.5,chr18,3666251,3666652,HeLa|chr18:3666251-3666652,chr18,3651910,3653910,HeLa|chr18:3653409-3653410
1,23769.0,chr6,3825650,3826056,HeLa|chr6:3825650-3826056,chr6,3848122,3850122,HeLa|chr6:3849621-3849622
1,22755.5,chr6,3826793,3826940,HeLa|chr6:3826793-3826940,chr6,3848122,3850122,HeLa|chr6:3849621-3849622
1,69688.5,chr6,3919163,3919458,HeLa|chr6:3919163-3919458,chr6,3848122,3850122,HeLa|chr6:3849621-3849622
1,70127.0,chr6,3919498,3920000,HeLa|chr6:3919498-3920000,chr6,3848122,3850122,HeLa|chr6:3849621-3849622
1,39946.0,chr20,4089292,4089668,HeLa|chr20:4089292-4089668,chr20,4127926,4129926,HeLa|chr20:4129425-4129426
1,25897.5,chr19,4374319,4374974,HeLa|chr19:4374319-4374974,chr19,4400044,4402044,HeLa|chr19:4400543-4400544
1,24852.5,chr19,4375172,4376211,HeLa|chr19:4375172-4376211,chr19,4400044,4402044,HeLa|chr19:4400543-4400544
1,23141.5,chr19,4376960,4377845,HeLa|chr19:4376960-4377845,chr19,4400044,4402044,HeLa|chr19:4400543-4400544
1,60739.0,chr12,6432024,6432896,HeLa|chr12:6432024-6432896,chr12,6491699,6493699,HeLa|chr12:6493198-6493199
1,13968.5,chr19,6516836,6517247,HeLa|chr19:6516836-6517247,chr19,6529510,6531510,HeLa|chr19:6531009-6531010
1,16718.5,chr12,6844859,6845452,HeLa|chr12:6844859-6845452,chr12,6861374,6863374,HeLa|chr12:6861873-6861874
1,16926.5,chr12,6844859,6845452,HeLa|chr12:6844859-6845452,chr12,6861582,6863582,HeLa|chr12:6862081-6862082
1,17079.5,chr12,6844859,6845452,HeLa|chr12:6844859-6845452,chr12,6861735,6863735,HeLa|chr12:6862234-6862235
1,17565.5,chr12,6844859,6845452,HeLa|chr12:6844859-6845452,chr12,6862221,6864221,HeLa|chr12:6862720-6862721
1,22604.0,chr17,7737845,7738109,HeLa|chr17:7737845-7738109,chr17,7760081,7762081,HeLa|chr17:7760580-7760581
1,23324.0,chr17,7737845,7738109,HeLa|chr17:7737845-7738109,chr17,7759801,7761801,HeLa|chr17:7761300-7761301
1,22278.0,chr17,7738185,7738421,HeLa|chr17:7738185-7738421,chr17,7760081,7762081,HeLa|chr17:7760580-7760581
1,22998.0,chr17,7738185,7738421,HeLa|chr17:7738185-7738421,chr17,7759801,7761801,HeLa|chr17:7761300-7761301
1,21605.0,chr17,7738739,7739213,HeLa|chr17:7738739-7739213,chr17,7760081,7762081,HeLa|chr17:7760580-7760581
1,22196.0,chr17,7738739,7739213,HeLa|chr17:7738739-7739213,chr17,7760672,7762672,HeLa|chr17:7761171-7761172
1,22233.0,chr17,7738739,7739213,HeLa|chr17:7738739-7739213,chr17,7760709,7762709,HeLa|chr17:7761208-7761209
1,22325.0,chr17,7738739,7739213,HeLa|chr17:7738739-7739213,chr17,7759801,7761801,HeLa|chr17:7761300-7761301
1,22421.0,chr17,7738739,7739213,HeLa|chr17:7738739-7739213,chr17,7760897,7762897,HeLa|chr17:7761396-7761397
1,24599.5,chr12,8113265,8113676,HeLa|chr12:8113265-8113676,chr12,8088371,8090371,HeLa|chr12:8088870-8088871
1,195545.5,chr17,9632371,9632742,HeLa|chr17:9632371-9632742,chr17,9827602,9829602,HeLa|chr17:9828101-9828102
1,194772.5,chr17,9632927,9633732,HeLa|chr17:9632927-9633732,chr17,9827602,9829602,HeLa|chr17:9828101-9828102
1,144368.5,chr11,9634725,9636216,HeLa|chr11:9634725-9636216,chr11,9778339,9780339,HeLa|chr11:9779838-9779839
1,24246.0,chr18,9683368,9684464,HeLa|chr18:9683368-9684464,chr18,9706662,9708662,HeLa|chr18:9708161-9708162
1,84186.0,chr5,10366459,10366713,HeLa|chr5:10366459-10366713,chr5,10281900,10283900,HeLa|chr5:10282399-10282400
1,84619.5,chr5,10366769,10367270,HeLa|chr5:10366769-10367270,chr5,10281900,10283900,HeLa|chr5:10282399-10282400
1,65763.0,chr19,11248164,11248288,HeLa|chr19:11248164-11248288,chr19,11313489,11315489,HeLa|chr19:11313988-11313989
1,64654.0,chr19,11248291,11250379,HeLa|chr19:11248291-11250379,chr19,11313489,11315489,HeLa|chr19:11313988-11313989
1,63406.5,chr19,11250381,11250784,HeLa|chr19:11250381-11250784,chr19,11313489,11315489,HeLa|chr19:11313988-11313989
1,64713.5,chr3,12264143,12265148,HeLa|chr3:12264143-12265148,chr3,12327859,12329859,HeLa|chr3:12329358-12329359
1,64754.5,chr3,12264143,12265148,HeLa|chr3:12264143-12265148,chr3,12327900,12329900,HeLa|chr3:12329399-12329400
1,65691.5,chr3,12264143,12265148,HeLa|chr3:12264143-12265148,chr3,12328837,12330837,HeLa|chr3:12330336-12330337
1,192068.5,chr3,12520821,12522034,HeLa|chr3:12520821-12522034,chr3,12327859,12329859,HeLa|chr3:12329358-12329359
1,24603.0,chr12,12941607,12941747,HeLa|chr12:12941607-12941747,chr12,12964780,12966780,HeLa|chr12:12966279-12966280
1,24370.0,chr12,12941772,12942048,HeLa|chr12:12941772-12942048,chr12,12964780,12966780,HeLa|chr12:12966279-12966280
1,98197.5,chr12,13251016,13251889,HeLa|chr12:13251016-13251889,chr12,13348150,13350150,HeLa|chr12:13349649-13349650
1,98264.5,chr12,13251016,13251889,HeLa|chr12:13251016-13251889,chr12,13348217,13350217,HeLa|chr12:13349716-13349717
1,365286.5,chr16,14379057,14379544,HeLa|chr16:14379057-14379544,chr16,14012514,14014514,HeLa|chr16:14014013-14014014
1,73431.0,chr5,14945116,14945520,HeLa|chr5:14945116-14945520,chr5,14871387,14873387,HeLa|chr5:14871886-14871887
1,73869.0,chr5,14945623,14945889,HeLa|chr5:14945623-14945889,chr5,14871387,14873387,HeLa|chr5:14871886-14871887
1,75231.5,chr5,14946969,14947268,HeLa|chr5:14946969-14947268,chr5,14871387,14873387,HeLa|chr5:14871886-14871887
1,64432.0,chr3,15309511,15309897,HeLa|chr3:15309511-15309897,chr3,15373636,15375636,HeLa|chr3:15374135-15374136
1,207081.0,chr2,20643661,20643875,HeLa|chr2:20643661-20643875,chr2,20850349,20852349,HeLa|chr2:20850848-20850849
1,206506.5,chr2,20644068,20644617,HeLa|chr2:20644068-20644617,chr2,20850349,20852349,HeLa|chr2:20850848-20850849
1,58038.5,chr1,20901785,20902034,HeLa|chr1:20901785-20902034,chr1,20958448,20960448,HeLa|chr1:20959947-20959948
1,57430.5,chr1,20902449,20902586,HeLa|chr1:20902449-20902586,chr1,20958448,20960448,HeLa|chr1:20959947-20959948
1,27248.5,chr8,21994830,21995171,HeLa|chr8:21994830-21995171,chr8,22020749,22022749,HeLa|chr8:22022248-22022249
1,27652.5,chr8,21994830,21995171,HeLa|chr8:21994830-21995171,chr8,22021153,22023153,HeLa|chr8:22022652-22022653
1,27912.5,chr8,21994830,21995171,HeLa|chr8:21994830-21995171,chr8,22021413,22023413,HeLa|chr8:22022912-22022913
1,23464.5,chr8,22046132,22046623,HeLa|chr8:22046132-22046623,chr8,22021413,22023413,HeLa|chr8:22022912-22022913
1,23724.5,chr8,22046132,22046623,HeLa|chr8:22046132-22046623,chr8,22021153,22023153,HeLa|chr8:22022652-22022653
1,24128.5,chr8,22046132,22046623,HeLa|chr8:22046132-22046623,chr8,22020749,22022749,HeLa|chr8:22022248-22022249
1,101841.0,chr16,22206862,22206916,HeLa|chr16:22206862-22206916,chr16,22307230,22309230,HeLa|chr16:22308729-22308730
1,101862.0,chr16,22206862,22206916,HeLa|chr16:22206862-22206916,chr16,22307251,22309251,HeLa|chr16:22308750-22308751
1,101866.0,chr16,22206862,22206916,HeLa|chr16:22206862-22206916,chr16,22307255,22309255,HeLa|chr16:22308754-22308755
1,101590.0,chr16,22206968,22207312,HeLa|chr16:22206968-22207312,chr16,22307230,22309230,HeLa|chr16:22308729-22308730
1,101611.0,chr16,22206968,22207312,HeLa|chr16:22206968-22207312,chr16,22307251,22309251,HeLa|chr16:22308750-22308751
1,101615.0,chr16,22206968,22207312,HeLa|chr16:22206968-22207312,chr16,22307255,22309255,HeLa|chr16:22308754-22308755
1,10463.0,chr16,22206968,22207312,HeLa|chr16:22206968-22207312,chr16,22216103,22218103,HeLa|chr16:22217602-22217603
1,10086.5,chr16,22207380,22207653,HeLa|chr16:22207380-22207653,chr16,22216103,22218103,HeLa|chr16:22217602-22217603
1,101213.5,chr16,22207380,22207653,HeLa|chr16:22207380-22207653,chr16,22307230,22309230,HeLa|chr16:22308729-22308730
1,101234.5,chr16,22207380,22207653,HeLa|chr16:22207380-22207653,chr16,22307251,22309251,HeLa|chr16:22308750-22308751
1,101238.5,chr16,22207380,22207653,HeLa|chr16:22207380-22207653,chr16,22307255,22309255,HeLa|chr16:22308754-22308755
1,229742.5,chr9,22238436,22239773,HeLa|chr9:22238436-22239773,chr9,22008862,22010862,HeLa|chr9:22009361-22009362
