label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,119012.0,chr1,3420459,3421842,HUVEC|chr1:3420459-3421842,chr1,3540856,3541719,HUVEC|chr1:3540856-3541719
1,482121.0,chr1,12193000,12193661,HUVEC|chr1:12193000-12193661,chr1,12675784,12680000,HUVEC|chr1:12675784-12680000
1,174270.0,chr1,16125278,16127559,HUVEC|chr1:16125278-16127559,chr1,16301831,16302773,HUVEC|chr1:16301831-16302773
1,277180.0,chr1,16399453,16400647,HUVEC|chr1:16399453-16400647,chr1,16677829,16679559,HUVEC|chr1:16677829-16679559
1,274977.0,chr1,16402337,16402850,HUVEC|chr1:16402337-16402850,chr1,16677829,16679559,HUVEC|chr1:16677829-16679559
1,272635.0,chr1,20539704,20539800,HUVEC|chr1:20539704-20539800,chr1,20812437,20812780,HUVEC|chr1:20812437-20812780
1,200403.0,chr1,23302083,23303152,HUVEC|chr1:23302083-23303152,chr1,23503557,23504800,HUVEC|chr1:23503557-23504800
1,507359.0,chr1,23302083,23303152,HUVEC|chr1:23302083-23303152,chr1,23810513,23811327,HUVEC|chr1:23810513-23811327
1,123693.0,chr1,26361217,26361800,HUVEC|chr1:26361217-26361800,chr1,26485495,26485791,HUVEC|chr1:26485495-26485791
1,134433.0,chr1,26361217,26361800,HUVEC|chr1:26361217-26361800,chr1,26496235,26496990,HUVEC|chr1:26496235-26496990
1,122493.0,chr1,26362769,26363000,HUVEC|chr1:26362769-26363000,chr1,26485495,26485791,HUVEC|chr1:26485495-26485791
1,133233.0,chr1,26362769,26363000,HUVEC|chr1:26362769-26363000,chr1,26496235,26496990,HUVEC|chr1:26496235-26496990
1,122458.0,chr1,26363000,26363035,HUVEC|chr1:26363000-26363035,chr1,26485495,26485791,HUVEC|chr1:26485495-26485791
1,133198.0,chr1,26363000,26363035,HUVEC|chr1:26363000-26363035,chr1,26496235,26496990,HUVEC|chr1:26496235-26496990
1,67362.0,chr1,27930800,27931200,HUVEC|chr1:27930800-27931200,chr1,27998564,27999297,HUVEC|chr1:27998564-27999297
1,296431.0,chr1,29210139,29210597,HUVEC|chr1:29210139-29210597,chr1,29507030,29509028,HUVEC|chr1:29507030-29509028
1,295428.0,chr1,29210755,29211600,HUVEC|chr1:29210755-29211600,chr1,29507030,29509028,HUVEC|chr1:29507030-29509028
1,49293.0,chr1,38275200,38275329,HUVEC|chr1:38275200-38275329,chr1,38324624,38326176,HUVEC|chr1:38324624-38326176
1,404775.0,chr1,44006065,44007112,HUVEC|chr1:44006065-44007112,chr1,44411889,44413016,HUVEC|chr1:44411889-44413016
