label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,36769.5,chr16,676807,676886,IMR90|chr16:676807-676886,chr16,638577,640577,IMR90|chr16:640076-640077
1,36984.0,chr16,676895,677227,IMR90|chr16:676895-677227,chr16,638577,640577,IMR90|chr16:640076-640077
1,146896.5,chr19,778907,779300,IMR90|chr19:778907-779300,chr19,924500,926500,IMR90|chr19:925999-926000
1,113511.0,chr19,869365,869961,IMR90|chr19:869365-869961,chr19,981674,983674,IMR90|chr19:983173-983174
1,114668.0,chr19,869365,869961,IMR90|chr19:869365-869961,chr19,982831,984831,IMR90|chr19:984330-984331
1,51313.5,chr17,1480530,1481103,IMR90|chr17:1480530-1481103,chr17,1531630,1533630,IMR90|chr17:1532129-1532130
1,66854.5,chr17,1687051,1687594,IMR90|chr17:1687051-1687594,chr17,1619968,1621968,IMR90|chr17:1620467-1620468
1,67505.5,chr17,1687051,1687594,IMR90|chr17:1687051-1687594,chr17,1618317,1620317,IMR90|chr17:1619816-1619817
1,67777.5,chr17,1687051,1687594,IMR90|chr17:1687051-1687594,chr17,1619045,1621045,IMR90|chr17:1619544-1619545
1,67816.5,chr17,1687051,1687594,IMR90|chr17:1687051-1687594,chr17,1619006,1621006,IMR90|chr17:1619505-1619506
1,67819.5,chr17,1687051,1687594,IMR90|chr17:1687051-1687594,chr17,1619003,1621003,IMR90|chr17:1619502-1619503
1,67831.5,chr17,1687051,1687594,IMR90|chr17:1687051-1687594,chr17,1618991,1620991,IMR90|chr17:1619490-1619491
1,51300.0,chr6,2790738,2791142,IMR90|chr6:2790738-2791142,chr6,2841740,2843740,IMR90|chr6:2842239-2842240
1,50625.5,chr6,2791456,2791773,IMR90|chr6:2791456-2791773,chr6,2841740,2843740,IMR90|chr6:2842239-2842240
1,50264.0,chr6,2791818,2792134,IMR90|chr6:2791818-2792134,chr6,2841740,2843740,IMR90|chr6:2842239-2842240
1,214729.5,chr18,3666251,3666652,IMR90|chr18:3666251-3666652,chr18,3450222,3452222,IMR90|chr18:3451721-3451722
1,214783.5,chr18,3666251,3666652,IMR90|chr18:3666251-3666652,chr18,3450168,3452168,IMR90|chr18:3451667-3451668
1,214860.5,chr18,3666251,3666652,IMR90|chr18:3666251-3666652,chr18,3450091,3452091,IMR90|chr18:3451590-3451591
1,216241.5,chr18,3666251,3666652,IMR90|chr18:3666251-3666652,chr18,3448710,3450710,IMR90|chr18:3450209-3450210
1,216417.5,chr18,3666251,3666652,IMR90|chr18:3666251-3666652,chr18,3448534,3450534,IMR90|chr18:3450033-3450034
1,216749.5,chr18,3666251,3666652,IMR90|chr18:3666251-3666652,chr18,3448202,3450202,IMR90|chr18:3449701-3449702
1,100755.0,chr6,3748566,3749164,IMR90|chr6:3748566-3749164,chr6,3848120,3850120,IMR90|chr6:3849619-3849620
1,100757.0,chr6,3748566,3749164,IMR90|chr6:3748566-3749164,chr6,3848122,3850122,IMR90|chr6:3849621-3849622
1,52006.0,chr6,3803882,3804650,IMR90|chr6:3803882-3804650,chr6,3751760,3753760,IMR90|chr6:3752259-3752260
1,52500.0,chr6,3803882,3804650,IMR90|chr6:3803882-3804650,chr6,3751266,3753266,IMR90|chr6:3751765-3751766
1,52503.0,chr6,3803882,3804650,IMR90|chr6:3803882-3804650,chr6,3751263,3753263,IMR90|chr6:3751762-3751763
1,52921.0,chr6,3803882,3804650,IMR90|chr6:3803882-3804650,chr6,3749845,3751845,IMR90|chr6:3751344-3751345
1,56954.5,chr6,3808933,3809496,IMR90|chr6:3808933-3809496,chr6,3751760,3753760,IMR90|chr6:3752259-3752260
1,57448.5,chr6,3808933,3809496,IMR90|chr6:3808933-3809496,chr6,3751266,3753266,IMR90|chr6:3751765-3751766
1,57451.5,chr6,3808933,3809496,IMR90|chr6:3808933-3809496,chr6,3751263,3753263,IMR90|chr6:3751762-3751763
1,57869.5,chr6,3808933,3809496,IMR90|chr6:3808933-3809496,chr6,3749845,3751845,IMR90|chr6:3751344-3751345
1,102844.0,chr10,3930069,3930565,IMR90|chr10:3930069-3930565,chr10,3826973,3828973,IMR90|chr10:3827472-3827473
1,102850.0,chr10,3930069,3930565,IMR90|chr10:3930069-3930565,chr10,3826967,3828967,IMR90|chr10:3827466-3827467
1,102932.0,chr10,3930069,3930565,IMR90|chr10:3930069-3930565,chr10,3826885,3828885,IMR90|chr10:3827384-3827385
