label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,182101.5,chr12,678895,680420,NHEK|chr12:678895-680420,chr12,860259,862259,NHEK|chr12:861758-861759
1,181020.5,chr12,680587,680890,NHEK|chr12:680587-680890,chr12,860259,862259,NHEK|chr12:861758-861759
1,177504.5,chr12,683679,684830,NHEK|chr12:683679-684830,chr12,860259,862259,NHEK|chr12:861758-861759
1,176415.0,chr12,684948,685740,NHEK|chr12:684948-685740,chr12,860259,862259,NHEK|chr12:861758-861759
1,157688.5,chr19,908674,908955,NHEK|chr19:908674-908955,chr19,749626,751626,NHEK|chr19:751125-751126
1,158165.5,chr19,909133,909450,NHEK|chr19:909133-909450,chr19,749626,751626,NHEK|chr19:751125-751126
1,109020.5,chr19,1213803,1214458,NHEK|chr19:1213803-1214458,chr19,1103610,1105610,NHEK|chr19:1105109-1105110
1,109715.5,chr19,1213803,1214458,NHEK|chr19:1213803-1214458,chr19,1102915,1104915,NHEK|chr19:1104414-1104415
1,110058.5,chr19,1213803,1214458,NHEK|chr19:1213803-1214458,chr19,1102572,1104572,NHEK|chr19:1104071-1104072
1,110063.5,chr19,1213803,1214458,NHEK|chr19:1213803-1214458,chr19,1102567,1104567,NHEK|chr19:1104066-1104067
1,110123.5,chr19,1213803,1214458,NHEK|chr19:1213803-1214458,chr19,1102507,1104507,NHEK|chr19:1104006-1104007
1,110194.5,chr19,1213803,1214458,NHEK|chr19:1213803-1214458,chr19,1102436,1104436,NHEK|chr19:1103935-1103936
1,111122.5,chr19,1216048,1216417,NHEK|chr19:1216048-1216417,chr19,1103610,1105610,NHEK|chr19:1105109-1105110
1,111817.5,chr19,1216048,1216417,NHEK|chr19:1216048-1216417,chr19,1102915,1104915,NHEK|chr19:1104414-1104415
1,112160.5,chr19,1216048,1216417,NHEK|chr19:1216048-1216417,chr19,1102572,1104572,NHEK|chr19:1104071-1104072
1,112165.5,chr19,1216048,1216417,NHEK|chr19:1216048-1216417,chr19,1102567,1104567,NHEK|chr19:1104066-1104067
1,112225.5,chr19,1216048,1216417,NHEK|chr19:1216048-1216417,chr19,1102507,1104507,NHEK|chr19:1104006-1104007
1,112296.5,chr19,1216048,1216417,NHEK|chr19:1216048-1216417,chr19,1102436,1104436,NHEK|chr19:1103935-1103936
1,111380.0,chr19,1216431,1216549,NHEK|chr19:1216431-1216549,chr19,1103610,1105610,NHEK|chr19:1105109-1105110
1,112075.0,chr19,1216431,1216549,NHEK|chr19:1216431-1216549,chr19,1102915,1104915,NHEK|chr19:1104414-1104415
1,112418.0,chr19,1216431,1216549,NHEK|chr19:1216431-1216549,chr19,1102572,1104572,NHEK|chr19:1104071-1104072
1,112423.0,chr19,1216431,1216549,NHEK|chr19:1216431-1216549,chr19,1102567,1104567,NHEK|chr19:1104066-1104067
1,112483.0,chr19,1216431,1216549,NHEK|chr19:1216431-1216549,chr19,1102507,1104507,NHEK|chr19:1104006-1104007
1,112554.0,chr19,1216431,1216549,NHEK|chr19:1216431-1216549,chr19,1102436,1104436,NHEK|chr19:1103935-1103936
1,110737.5,chr19,2950013,2951316,NHEK|chr19:2950013-2951316,chr19,3060902,3062902,NHEK|chr19:3061401-3061402
1,111890.5,chr19,2950013,2951316,NHEK|chr19:2950013-2951316,chr19,3062055,3064055,NHEK|chr19:3062554-3062555
1,112216.5,chr19,2950013,2951316,NHEK|chr19:2950013-2951316,chr19,3062381,3064381,NHEK|chr19:3062880-3062881
1,112440.5,chr19,2950013,2951316,NHEK|chr19:2950013-2951316,chr19,3062605,3064605,NHEK|chr19:3063104-3063105
1,108132.0,chr19,2952926,2953614,NHEK|chr19:2952926-2953614,chr19,3060902,3062902,NHEK|chr19:3061401-3061402
